37,37,3,32,3
37,37,3,32,5
37,37,3,32,7
37,37,3,32,9
37,37,3,32,11
37,37,3,64,3
37,37,3,64,5
37,37,3,64,7
37,37,3,64,9
37,37,3,64,11
35,35,32,32,3
33,33,32,32,5
31,31,32,32,7
29,29,32,32,9
27,27,32,32,11
35,35,64,64,3
33,33,64,64,5
31,31,64,64,7
29,29,64,64,9
27,27,64,64,11
33,33,32,32,3
31,31,32,32,5
29,29,32,32,7
27,27,32,32,9
25,25,32,32,11
33,33,64,64,3
31,31,64,64,5
29,29,64,64,7
27,27,64,64,9
25,25,64,64,11
31,31,32,32,3
29,29,32,32,5
27,27,32,32,7
25,25,32,32,9
23,23,32,32,11
31,31,64,64,3
29,29,64,64,5
27,27,64,64,7
25,25,64,64,9
23,23,64,64,11
29,29,32,32,3
27,27,32,32,5
25,25,32,32,7
23,23,32,32,9
21,21,32,32,11
29,29,64,64,3
27,27,64,64,5
25,25,64,64,7
23,23,64,64,9
21,21,64,64,11
27,27,32,32,3
25,25,32,32,5
23,23,32,32,7
21,21,32,32,9
19,19,32,32,11
27,27,64,64,3
25,25,64,64,5
23,23,64,64,7
21,21,64,64,9
19,19,64,64,11
25,25,32,32,3
23,23,32,32,5
21,21,32,32,7
19,19,32,32,9
17,17,32,32,11
25,25,64,64,3
23,23,64,64,5
21,21,64,64,7
19,19,64,64,9
17,17,64,64,11
23,23,32,32,3
21,21,32,32,5
19,19,32,32,7
17,17,32,32,9
15,15,32,32,11
23,23,64,64,3
21,21,64,64,5
19,19,64,64,7
17,17,64,64,9
15,15,64,64,11
21,21,32,32,3
19,19,32,32,5
17,17,32,32,7
15,15,32,32,9
13,13,32,32,11
21,21,64,64,3
19,19,64,64,5
17,17,64,64,7
15,15,64,64,9
13,13,64,64,11
19,19,32,32,3
17,17,32,32,5
15,15,32,32,7
13,13,32,32,9
11,11,32,32,11
19,19,64,64,3
17,17,64,64,5
15,15,64,64,7
13,13,64,64,9
11,11,64,64,11
17,17,32,32,3
15,15,32,32,5
13,13,32,32,7
11,11,32,32,9
9,9,32,32,11
17,17,64,64,3
15,15,64,64,5
13,13,64,64,7
11,11,64,64,9
15,15,32,32,3
13,13,32,32,5
11,11,32,32,7
15,15,64,64,3
13,13,64,64,5
11,11,64,64,7
